timestamp,lmp_usd_per_mwh,stress_indicator,emissions_tco2_per_mwh,it_load_mw,pue,eta_compute_per_mwh_it,carbon_shadow_price_usd_per_tco2,reliability_valuation_usd_per_compute_unit,location_based_emissions_baseline_tco2_per_mwh
2025-01-01 00:00:00,51.57,0,0.3087,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-01 01:00:00,41.09,0,0.2872,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-01 02:00:00,49.24,0,0.3018,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-01 03:00:00,47.8,0,0.2807,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-01 04:00:00,28.03,0,0.2846,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-01 05:00:00,29.86,0,0.271,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-01 06:00:00,36.85,0,0.2736,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-01 07:00:00,33.18,0,0.2641,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-01 08:00:00,34.64,0,0.2551,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-01 09:00:00,29.96,0,0.2538,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-01 10:00:00,41.36,0,0.255,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-01 11:00:00,42.34,0,0.2682,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-01 12:00:00,40.14,0,0.2545,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-01 13:00:00,48.92,0,0.2482,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-01 14:00:00,47.55,0,0.247,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-01 15:00:00,42.17,0,0.2451,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-01 16:00:00,51.95,0,0.2785,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-01 17:00:00,46.06,0,0.2603,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-01 18:00:00,58.67,0,0.2875,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-01 19:00:00,54.1,0,0.2866,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-01 20:00:00,53.63,0,0.2878,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-01 21:00:00,50.31,0,0.2937,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-01 22:00:00,60.74,0,0.3005,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-01 23:00:00,50.88,0,0.2665,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-02 00:00:00,47.18,0,0.2884,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-02 01:00:00,45.22,0,0.294,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-02 02:00:00,47.94,0,0.3065,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-02 03:00:00,44.35,0,0.3021,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-02 04:00:00,42.22,0,0.267,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-02 05:00:00,40.26,0,0.2721,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-02 06:00:00,48.94,0,0.2622,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-02 07:00:00,32.65,0,0.2777,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-02 08:00:00,31.67,0,0.2684,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-02 09:00:00,30.21,0,0.2576,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-02 10:00:00,39.78,0,0.2601,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-02 11:00:00,44.45,0,0.274,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-02 12:00:00,39.06,0,0.268,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-02 13:00:00,37.12,0,0.2666,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-02 14:00:00,39.8,0,0.263,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-02 15:00:00,51.24,0,0.2653,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-02 16:00:00,54.21,0,0.2817,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-02 17:00:00,55.08,0,0.2864,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-02 18:00:00,49.42,0,0.2763,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-02 19:00:00,55.8,0,0.283,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-02 20:00:00,55.45,0,0.3012,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-02 21:00:00,55.72,0,0.3098,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-02 22:00:00,58.64,0,0.2901,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-02 23:00:00,53.16,0,0.2926,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-03 00:00:00,53.83,0,0.2999,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-03 01:00:00,47.75,0,0.2964,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-03 02:00:00,46.49,0,0.284,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-03 03:00:00,45.96,0,0.3053,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-03 04:00:00,31.01,0,0.2771,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-03 05:00:00,35.77,0,0.2779,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-03 06:00:00,33.27,0,0.2845,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-03 07:00:00,31.26,0,0.2572,100.0,1.2,1.0,80.0,10000.0,0.2677
2025-01-03 08:00:00,33.11,0,0.2585,100.0,1.2,1.0,80.0,10000.0,0.2677
