timestamp,lmp_usd_per_mwh,emissions_tco2_per_mwh,stress_indicator,option,availability_alpha,facility_electricity_mwh,potential_compute,delivered_compute,electricity_component_usd,carbon_component_usd,reliability_component_usd
2025-01-01 00:00:00,51.57,0.3087,0,Connect-and-Manage,1.0,120.0,100.0,100.0,6188.4,2963.5199999999995,0.0
2025-01-01 01:00:00,41.09,0.2872,0,Connect-and-Manage,1.0,120.0,100.0,100.0,4930.8,2757.12,0.0
2025-01-01 02:00:00,49.24,0.3018,0,Connect-and-Manage,1.0,120.0,100.0,100.0,5908.8,2897.28,0.0
2025-01-01 03:00:00,47.8,0.2807,0,Connect-and-Manage,1.0,120.0,100.0,100.0,5736.0,2694.72,0.0
2025-01-01 04:00:00,28.03,0.2846,0,Connect-and-Manage,1.0,120.0,100.0,100.0,3363.6000000000004,2732.16,0.0
2025-01-01 05:00:00,29.86,0.271,0,Connect-and-Manage,1.0,120.0,100.0,100.0,3583.2,2601.6,0.0
2025-01-01 06:00:00,36.85,0.2736,0,Connect-and-Manage,1.0,120.0,100.0,100.0,4422.0,2626.5600000000004,0.0
2025-01-01 07:00:00,33.18,0.2641,0,Connect-and-Manage,1.0,120.0,100.0,100.0,3981.6,2535.36,0.0
2025-01-01 08:00:00,34.64,0.2551,0,Connect-and-Manage,1.0,120.0,100.0,100.0,4156.8,2448.96,0.0
2025-01-01 09:00:00,29.96,0.2538,0,Connect-and-Manage,1.0,120.0,100.0,100.0,3595.2000000000003,2436.4800000000005,0.0
2025-01-01 10:00:00,41.36,0.255,0,Connect-and-Manage,1.0,120.0,100.0,100.0,4963.2,2448.0,0.0
2025-01-01 11:00:00,42.34,0.2682,0,Connect-and-Manage,1.0,120.0,100.0,100.0,5080.8,2574.72,0.0
2025-01-01 12:00:00,40.14,0.2545,0,Connect-and-Manage,1.0,120.0,100.0,100.0,4816.8,2443.2,0.0
2025-01-01 13:00:00,48.92,0.2482,0,Connect-and-Manage,1.0,120.0,100.0,100.0,5870.400000000001,2382.7200000000003,0.0
2025-01-01 14:00:00,47.55,0.247,0,Connect-and-Manage,1.0,120.0,100.0,100.0,5706.0,2371.2,0.0
2025-01-01 15:00:00,42.17,0.2451,0,Connect-and-Manage,1.0,120.0,100.0,100.0,5060.400000000001,2352.96,0.0
2025-01-01 16:00:00,51.95,0.2785,0,Connect-and-Manage,1.0,120.0,100.0,100.0,6234.0,2673.6000000000004,0.0
2025-01-01 17:00:00,46.06,0.2603,0,Connect-and-Manage,1.0,120.0,100.0,100.0,5527.200000000001,2498.8799999999997,0.0
2025-01-01 18:00:00,58.67,0.2875,0,Connect-and-Manage,1.0,120.0,100.0,100.0,7040.400000000001,2760.0,0.0
2025-01-01 19:00:00,54.1,0.2866,0,Connect-and-Manage,1.0,120.0,100.0,100.0,6492.0,2751.36,0.0
2025-01-01 20:00:00,53.63,0.2878,0,Connect-and-Manage,1.0,120.0,100.0,100.0,6435.6,2762.88,0.0
2025-01-01 21:00:00,50.31,0.2937,0,Connect-and-Manage,1.0,120.0,100.0,100.0,6037.200000000001,2819.5200000000004,0.0
2025-01-01 22:00:00,60.74,0.3005,0,Connect-and-Manage,1.0,120.0,100.0,100.0,7288.8,2884.7999999999997,0.0
2025-01-01 23:00:00,50.88,0.2665,0,Connect-and-Manage,1.0,120.0,100.0,100.0,6105.6,2558.4,0.0
2025-01-02 00:00:00,47.18,0.2884,0,Connect-and-Manage,1.0,120.0,100.0,100.0,5661.6,2768.64,0.0
